from_zone,to_zone,from_naam,to_naam,freeflow_s,meters
Z01,Z69,Afrikaanderwijk,Zevenkamp,994,14543
Z01,Z70,Afrikaanderwijk,Zuiderpark,467,4446
Z01,Z71,Afrikaanderwijk,Zuidplein,333,2778
Z01,Z72,Afrikaanderwijk,Zuidwijk,480,4597
Z02,Z00,Agniesebuurt,'s-Gravenland,760,6688
Z02,Z01,Agniesebuurt,Afrikaanderwijk,630,5458
Z02,Z02,Agniesebuurt,Agniesebuurt,45,0
Z02,Z03,Agniesebuurt,Bedrijvenpark Noord-West,597,7132
Z02,Z04,Agniesebuurt,Bergpolder,218,1750
Z02,Z05,Agniesebuurt,Beverwaard,1057,11486
Z02,Z06,Agniesebuurt,Blijdorp,207,1645
Z02,Z07,Agniesebuurt,Blijdorpsepolder,464,3478
Z02,Z08,Agniesebuurt,Bloemhof,728,6283
Z02,Z09,Agniesebuurt,Bospolder,639,4983
Z02,Z10,Agniesebuurt,Carnisse,729,6539
Z02,Z11,Agniesebuurt,Charlois Zuidrand,990,9241
Z02,Z12,Agniesebuurt,Cool,406,3255
Z02,Z13,Agniesebuurt,Cs Kwartier,344,2449
Z02,Z14,Agniesebuurt,De Esch,625,5775
Z02,Z15,Agniesebuurt,Delfshaven,496,4271
Z02,Z16,Agniesebuurt,Dijkzigt,436,3747
Z02,Z17,Agniesebuurt,Feijenoord,612,4907
Z02,Z18,Agniesebuurt,Groot IJsselmonde,990,9862
Z02,Z19,Agniesebuurt,Heijplaat,1247,11823
Z02,Z20,Agniesebuurt,Het Lage Land,650,6448
Z02,Z21,Agniesebuurt,Hillegersberg Noord,450,4083
Z02,Z22,Agniesebuurt,Hillegersberg Zuid,323,2975
Z02,Z23,Agniesebuurt,Hillesluis,679,6046
Z02,Z24,Agniesebuurt,Hoogvliet Noord,1098,17524
Z02,Z25,Agniesebuurt,Hoogvliet Zuid,1382,20918
Z02,Z26,Agniesebuurt,Katendrecht,719,6083
Z02,Z27,Agniesebuurt,Kleinpolder,390,3731
Z02,Z28,Agniesebuurt,Kop van Zuid,518,4475
Z02,Z29,Agniesebuurt,Kop van Zuid - Entrepot,552,4599
Z02,Z30,Agniesebuurt,Kralingen Oost,510,4686
Z02,Z31,Agniesebuurt,Kralingen West,370,3109
Z02,Z32,Agniesebuurt,Kralingse Bos,609,4669
Z02,Z33,Agniesebuurt,Kralingseveer,769,7424
Z02,Z34,Agniesebuurt,Liskwartier,212,1501
Z02,Z35,Agniesebuurt,Lombardijen,968,8886
Z02,Z36,Agniesebuurt,Middelland,396,3064
Z02,Z37,Agniesebuurt,Molenlaankwartier,521,4737
Z02,Z38,Agniesebuurt,Nesselande,1074,13874
Z02,Z39,Agniesebuurt,Nieuw Crooswijk,348,2996
Z02,Z40,Agniesebuurt,Nieuwe Werk,580,4628
Z02,Z41,Agniesebuurt,Nieuwe Westen,460,3414
Z02,Z42,Agniesebuurt,Noord Kethel,869,10578
Z02,Z43,Agniesebuurt,Noordereiland,463,3853
Z02,Z44,Agniesebuurt,Ommoord,773,7806
Z02,Z45,Agniesebuurt,Oosterflank,769,10601
Z02,Z46,Agniesebuurt,Oud Charlois,675,6149
Z02,Z47,Agniesebuurt,Oud Crooswijk,251,1902
Z02,Z48,Agniesebuurt,Oud IJsselmonde,795,8772
Z02,Z49,Agniesebuurt,Oud Mathenesse,566,6738
Z02,Z50,Agniesebuurt,Oude Noorden,199,1188
Z02,Z51,Agniesebuurt,Oude Westen,430,3197
Z02,Z52,Agniesebuurt,Overschie,556,5013
Z02,Z53,Agniesebuurt,Pendrecht,866,8185
Z02,Z54,Agniesebuurt,Prinsenland,805,11093
Z02,Z55,Agniesebuurt,Provenierswijk,182,1176
Z02,Z56,Agniesebuurt,Rubroek,228,1524
Z02,Z57,Agniesebuurt,Schiebroek,607,5761
Z02,Z58,Agniesebuurt,Schiemond,616,5275
Z02,Z59,Agniesebuurt,Schieveen,649,7953
Z02,Z60,Agniesebuurt,Spangen,591,4103
Z02,Z61,Agniesebuurt,Stadsdriehoek,386,3000
Z02,Z62,Agniesebuurt,Struisenburg,412,3361
Z02,Z63,Agniesebuurt,Tarwewijk,711,6398
Z02,Z64,Agniesebuurt,Terbregge,614,5795
Z02,Z65,Agniesebuurt,Tussendijken,584,4042
Z02,Z66,Agniesebuurt,Vreewijk,864,7921
Z02,Z67,Agniesebuurt,Wielewaal,907,7934
Z02,Z68,Agniesebuurt,Zestienhoven,514,5060
Z02,Z69,Agniesebuurt,Zevenkamp,774,10892
Z02,Z70,Agniesebuurt,Zuiderpark,910,8709
Z02,Z71,Agniesebuurt,Zuidplein,733,6827
Z02,Z72,Agniesebuurt,Zuidwijk,960,9202
Z03,Z00,Bedrijvenpark Noord-West,'s-Gravenland,987,15970
Z03,Z01,Bedrijvenpark Noord-West,Afrikaanderwijk,1020,11289
Z03,Z02,Bedrijvenpark Noord-West,Agniesebuurt,610,7340
Z03,Z03,Bedrijvenpark Noord-West,Bedrijvenpark Noord-West,78,0
Z03,Z04,Bedrijvenpark Noord-West,Bergpolder,444,6296
Z03,Z05,Bedrijvenpark Noord-West,Beverwaard,1264,21314
Z03,Z06,Bedrijvenpark Noord-West,Blijdorp,458,5907
Z03,Z07,Bedrijvenpark Noord-West,Blijdorpsepolder,486,5103
Z03,Z08,Bedrijvenpark Noord-West,Bloemhof,1100,12436
Z03,Z09,Bedrijvenpark Noord-West,Bospolder,571,5212
Z03,Z10,Bedrijvenpark Noord-West,Carnisse,966,11122
Z03,Z11,Bedrijvenpark Noord-West,Charlois Zuidrand,1080,17613
Z03,Z12,Bedrijvenpark Noord-West,Cool,746,8532
Z03,Z13,Bedrijvenpark Noord-West,Cs Kwartier,573,7004
Z03,Z14,Bedrijvenpark Noord-West,De Esch,916,16514
Z03,Z15,Bedrijvenpark Noord-West,Delfshaven,658,6534
Z03,Z16,Bedrijvenpark Noord-West,Dijkzigt,679,8309
Z03,Z17,Bedrijvenpark Noord-West,Feijenoord,1090,11798
Z03,Z18,Bedrijvenpark Noord-West,Groot IJsselmonde,1198,20347
Z03,Z19,Bedrijvenpark Noord-West,Heijplaat,1142,17667
Z03,Z20,Bedrijvenpark Noord-West,Het Lage Land,850,13372
Z03,Z21,Bedrijvenpark Noord-West,Hillegersberg Noord,623,8720
Z03,Z22,Bedrijvenpark Noord-West,Hillegersberg Zuid,549,7426
Z03,Z23,Bedrijvenpark Noord-West,Hillesluis,1095,12056
Z03,Z24,Bedrijvenpark Noord-West,Hoogvliet Noord,872,13572
Z03,Z25,Bedrijvenpark Noord-West,Hoogvliet Zuid,1156,16966
Z03,Z26,Bedrijvenpark Noord-West,Katendrecht,1098,11690
Z03,Z27,Bedrijvenpark Noord-West,Kleinpolder,345,4541
Z03,Z28,Bedrijvenpark Noord-West,Kop van Zuid,896,10082
Z03,Z29,Bedrijvenpark Noord-West,Kop van Zuid - Entrepot,1008,11236
Z03,Z30,Bedrijvenpark Noord-West,Kralingen Oost,878,15284
Z03,Z31,Bedrijvenpark Noord-West,Kralingen West,779,10247
Z03,Z32,Bedrijvenpark Noord-West,Kralingse Bos,930,11189
Z03,Z33,Bedrijvenpark Noord-West,Kralingseveer,982,17253
Z03,Z34,Bedrijvenpark Noord-West,Liskwartier,550,7144
Z03,Z35,Bedrijvenpark Noord-West,Lombardijen,1246,14373
Z03,Z36,Bedrijvenpark Noord-West,Middelland,634,7639
Z03,Z37,Bedrijvenpark Noord-West,Molenlaankwartier,620,8955
Z03,Z38,Bedrijvenpark Noord-West,Nesselande,1201,18329
Z03,Z39,Bedrijvenpark Noord-West,Nieuw Crooswijk,623,8668
Z03,Z40,Bedrijvenpark Noord-West,Nieuwe Werk,841,9546
Z03,Z41,Bedrijvenpark Noord-West,Nieuwe Westen,588,5452
Z03,Z42,Bedrijvenpark Noord-West,Noord Kethel,624,6266
Z03,Z43,Bedrijvenpark Noord-West,Noordereiland,935,10716
Z03,Z44,Bedrijvenpark Noord-West,Ommoord,836,13359
Z03,Z45,Bedrijvenpark Noord-West,Oosterflank,906,15035
Z03,Z46,Bedrijvenpark Noord-West,Oud Charlois,918,10778
Z03,Z47,Bedrijvenpark Noord-West,Oud Crooswijk,681,9498
Z03,Z48,Bedrijvenpark Noord-West,Oud IJsselmonde,998,18600
Z03,Z49,Bedrijvenpark Noord-West,Oud Mathenesse,380,3791
Z03,Z50,Bedrijvenpark Noord-West,Oude Noorden,646,7702
Z03,Z51,Bedrijvenpark Noord-West,Oude Westen,660,7773
Z03,Z52,Bedrijvenpark Noord-West,Overschie,281,2739
Z03,Z53,Bedrijvenpark Noord-West,Pendrecht,1096,12760
Z03,Z54,Bedrijvenpark Noord-West,Prinsenland,970,15755
Z03,Z55,Bedrijvenpark Noord-West,Provenierswijk,560,6931
Z03,Z56,Bedrijvenpark Noord-West,Rubroek,733,8790
Z03,Z57,Bedrijvenpark Noord-West,Schiebroek,674,9260
Z03,Z58,Bedrijvenpark Noord-West,Schiemond,602,5998
Z03,Z59,Bedrijvenpark Noord-West,Schieveen,356,3904
Z03,Z60,Bedrijvenpark Noord-West,Spangen,468,4393
Z03,Z61,Bedrijvenpark Noord-West,Stadsdriehoek,843,9385
Z03,Z62,Bedrijvenpark Noord-West,Struisenburg,890,10263
Z03,Z63,Bedrijvenpark Noord-West,Tarwewijk,944,10979
Z03,Z64,Bedrijvenpark Noord-West,Terbregge,690,11854
Z03,Z65,Bedrijvenpark Noord-West,Tussendijken,515,4934
Z03,Z66,Bedrijvenpark Noord-West,Vreewijk,1141,12988
Z03,Z67,Bedrijvenpark Noord-West,Wielewaal,1150,12510
